Area code,Area,Inner or Outer London,er2005,er2006,er2007,er2008,er2009,er2010,er2011,er2012,er2013,er2014,er2015,er2016,er2017,er2018,er2019,,mdh2004,mdh2005,mdh2006,mdh2007,mdh2008,mdh2009,mdh2010,mdh2011,mdh2012,mdh2013,mdh2014,mdh2015,mdh2016,mdh2017,mdh2018,,mi2003/04,mi2004/05,mi2005/06,mi2006/07,mi2007/08,mi2008/09,mi2009/10,mi2010/11,mi2011/12,mi2012/13,mi2013/14,mi2014/15,mi2015/16,mi2016/17,mi2017/18,,mdi2003/04,mdi2004/05,mdi2005/06,mdi2006/07,mdi2007/08,mdi2008/09,mdi2009/10,mdi2010/11,mdi2011/12,mdi2012/13,mdi2013/14,mdi2014/15,mdi2015/16,mdi2016/17,mdi2017/18,,gr2006-07,gr2007-08,gr2008-09,gr2009-10,gr2010-11,gr2011-12,gr2012-13,gr2013-14,gr2014-15,,rr2003/04,rr2004/05,rr2005/06,rr2006/07,rr2007/08,rr2008/09,rr2009/10,rr2010/11,rr2011/12,rr2012/13,rr2013/14,rr2014/15,rr2015/16,rr2016/17,rr2017/18,rr2018/19
E09000021,Kingston upon Thames,Outer,72.5,74.2,72.7,71.8,74.1,70.3,67.9,70.5,73.9,75.1,74.2,73.5,75.9,72.0,78.2,,235000,240000,249999,290000,285000,270000,300000,300000,317500,335000,385000,413500,460000,485000,490000,,28300,30500,33400,34300,38200,#N/A,39200,35500,38700,39900,41900,43600,45800,44500,48700,,20100,20400,22400,22900,25200,#N/A,25600,24800,26000,26500,26100,29100,30300,30200,32400,,60.6,60.4,65.8,68.7,71.0,70.1,71.6,70.0,73.2,,19,18,24,24,26,35,46,47,47,46,46,46,46,47,48,49
E09000022,Lambeth,Inner,65.8,64.1,67.8,68.3,72.5,72.7,72.4,70.7,78.0,80.0,78.5,80.6,80.7,76.4,78.2,,220000,229000,246000,280000,275000,275000,302000,310000,321250,350000,420000,460000,507700,520000,525000,,26600,26800,28700,30900,33300,#N/A,35400,34200,35700,37600,40600,41100,43700,43900,45600,,20000,19900,20700,21600,22200,#N/A,24000,24000,24600,26000,26800,27300,28400,29200,29900,,39.7,45.6,51.3,53.0,61.1,62.8,65.9,57.0,56.5,,12,16,22,23,25,26,27,28,28,23,21,28,29,29,30,30
E09000023,Lewisham,Inner,70.8,70.0,66.7,70.5,69.4,64.1,67.7,67.5,71.3,74.8,75.8,74.8,83.1,78.8,79.9,,180000,185000,204625,225000,227000,215000,235000,240000,249000,260000,315000,360000,386375,427500,419389,,21500,23100,25200,25800,27100,#N/A,28700,29300,29800,30400,31500,32400,34500,35900,36800,,17000,18100,20000,20900,21000,#N/A,22300,23200,22900,23000,24000,24900,25800,26700,27300,,41.5,45.9,47.7,48.0,55.9,55.6,58.0,51.3,51.9,,8,10,12,16,22,21,17,18,17,20,18,17,18,18,22,28
E09000024,Merton,Outer,70.2,73.4,77.8,77.5,73.2,71.9,71.3,73.0,76.1,74.7,78.8,77.6,79.6,81.9,80.3,,225000,233000,242000,264000,262250,250000,289000,295000,290000,320500,385000,420000,450000,470000,475000,,31300,31600,34800,37200,39400,#N/A,44000,43100,43700,44400,48700,46900,50800,53200,54600,,19700,19400,20500,21600,22300,#N/A,24100,24700,25200,25800,27800,27600,28500,29500,30200,,47.4,53.3,55.4,52.4,59.8,59.1,62.6,64.2,60.0,,15,20,23,25,27,30,34,36,37,39,39,38,35,36,37,39
E09000025,Newham,Inner,55.8,56.9,57.3,59.7,55.5,54.8,54.4,60.1,62.0,60.6,66.2,71.0,68.7,68.7,71.1,,187000,197600,212000,230000,235000,200000,220000,219000,219000,230000,250000,310000,355000,392500,415000,,17400,18500,19200,19600,21000,#N/A,21900,21700,22000,23100,24800,25400,27300,28200,30000,,14500,15100,15200,15800,16500,#N/A,17600,17400,17600,18500,20100,20200,22100,22500,24100,,44.1,45.7,47.9,52.1,58.5,61.9,58.4,55.4,59.4,,2,6,10,14,14,15,19,15,23,21,18,17,15,14,14,17
E09000026,Redbridge,Outer,64.8,67.5,66.1,65.7,66.9,64.4,63.0,65.7,67.1,69.6,68.6,72.6,70.4,69.0,70.2,,217500,225000,238000,250000,250000,230000,250000,250000,265000,274998,300000,350000,390000,420000,430000,,24100,24500,26500,28300,29100,#N/A,30200,29400,30900,31800,33100,33900,35300,35500,37100,,19000,17800,20000,20700,21600,#N/A,22300,22200,22900,23800,25100,25700,26400,27400,28000,,61.3,62.7,63.4,69.3,68.5,70.6,70.2,68.1,63.4,,9,16,17,19,22,26,32,28,33,29,29,29,28,27,24,25
E09000027,Richmond upon Thames,Outer,76.2,75.7,77.1,75.8,74.1,74.7,74.5,75.6,77.1,78.1,79.5,79.5,74.1,77.8,81.3,,292500,299950,330000,380000,375000,377750,400000,420000,430000,475000,534995,577500,605000,640750,638725,,42700,41800,47500,52500,56900,#N/A,58900,56300,57400,58800,64000,64600,67300,67000,69000,,25600,24500,25800,27300,29100,#N/A,30800,30600,31500,33400,33700,35800,35500,36600,36100,,62.1,64.5,63.6,61.4,63.2,62.6,68.3,63.5,64.7,,24,24,29,32,36,42,43,43,45,46,43,41,41,42,42,43
E09000028,Southwark,Inner,63.5,64.5,64.9,66.8,65.7,68.7,63.3,68.8,65.0,72.0,74.3,75.5,78.9,77.3,78.1,,224998,239995,247500,275000,278000,285000,314500,320000,332500,350000,420000,475000,515000,530000,572500,,25400,26300,29500,31800,36000,#N/A,36800,35400,36500,37500,40500,41600,44200,45400,48600,,18200,17800,20000,20400,21900,#N/A,23300,23800,24300,25000,26200,27700,27100,29400,29400,,41.2,45.5,49.2,56.1,58.0,58.8,65.2,62.4,64.3,,7,11,15,18,20,21,22,25,27,30,34,35,35,34,35,35
E09000029,Sutton,Outer,79.3,77.7,75.2,76.5,77.2,75.5,73.3,74.8,77.9,78.1,78.1,79.5,79.1,80.1,78.5,,188500,200000,210000,233000,230000,210000,235000,233000,240000,250000,285000,320000,347500,365000,385000,,24600,25600,26300,28400,30000,#N/A,30000,29100,31400,32400,32800,33600,35400,35500,36900,,18400,18900,20200,21400,22500,#N/A,23200,22300,25300,25000,25100,25900,27400,27300,28200,,56.5,57.5,59.3,70.6,74.7,75.9,77.0,72.1,70.4,,25,28,29,30,32,32,38,38,37,37,37,38,35,37,50,49
E09000030,Tower Hamlets,Inner,57.3,53.1,55.5,61.2,59.5,61.1,60.0,61.5,63.2,68.5,70.5,69.3,62.1,72.9,71.4,,230000,238000,249995,290000,289998,290000,305000,300000,305000,329325,384975,425000,470000,490000,480000,,28300,29600,31500,33500,37400,#N/A,38300,37400,38200,39000,40800,41800,45000,46600,46600,,18300,19200,19800,19400,21200,#N/A,24500,24000,24700,25800,27000,26600,28900,30500,30200,,37.3,42.5,46.4,51.8,61.4,61.8,64.7,59.7,64.6,,5,7,9,12,13,19,26,25,27,28,28,28,27,28,26,23
E09000031,Waltham Forest,Outer,66.3,66.9,66.5,64.2,65.2,63.9,67.8,67.7,70.8,68.3,73.2,74.8,78.0,78.2,74.4,,188000,198500,215000,239500,232000,211000,230000,231500,241500,265000,320000,371950,421500,445000,445250,,20100,20800,22000,23100,23200,#N/A,24800,24400,25300,26200,27000,28200,29400,30300,31900,,16800,16600,17700,17900,18200,#N/A,20600,19700,20300,21400,21900,22700,23900,24500,25500,,45,47.6,49.7,50.9,54.3,52.6,56.7,56.7,57.4,,12,18,22,28,30,28,28,27,27,31,33,36,35,34,32,32
E09000032,Wandsworth,Inner,72.8,71.3,73.9,76.6,77.6,72.5,75.5,74.5,74.3,79.4,78.5,80.2,79.8,80.6,80.5,,262500,278000,312000,355000,350000,350000,380000,390000,415500,465000,532500,560000,644000,651400,620000,,37800,38200,44100,45400,49500,#N/A,52800,50700,53400,54700,59900,59200,63600,64900,67900,,22600,22000,24500,25300,26100,#N/A,29200,29000,29400,31000,31900,32900,34200,35000,34500,,47.2,48.3,51.4,58.1,61.7,58.3,61.3,59.1,58.2,,18,17,21,23,25,27,25,27,28,23,20,21,21,22,22,23
E09000033,Westminster,Inner,63.3,62.0,62.9,62.5,66.6,61.8,62.9,64.4,66.7,66.5,65.6,67.6,66.0,68.2,71.3,,346150,375000,411400,475000,495000,499999,580000,602500,635000,725000,875000,890000,1022000,1040000,1020000,,57500,56500,68100,73600,82600,#N/A,93500,83400,88200,92200,107000,104000,109000,107000,124000,,23500,23100,27100,27000,29200,#N/A,31900,31400,32400,35200,36400,35100,37800,36100,39700,,44.3,46.5,50.3,62.5,63.1,69.9,69.6,68.1,67.5,,11,15,18,20,23,23,24,25,25,22,21,19,17,17,19,22
E12000001,North East,#N/A,68.2,69.2,69.6,68.3,66.5,66.9,65.6,67.1,66.9,69.4,68.9,70.6,72.2,71.9,71.1,,96000,108950,119000,122500,120000,120000,122000,117498,120000,122500,125950,132500,134950,136000,140000,,18500,19100,20200,21000,22100,#N/A,23900,22900,24300,25000,26000,26600,27600,27600,28500,,14800,15000,15500,16300,17100,#N/A,18400,18000,19100,19700,20400,20800,21500,22100,22600,,42,45,48.1,52.8,56.8,58.5,59.3,54.6,55.4,,12,15,21,26,28,31,35,36,38,37,38,38,38,36,35,35
E12000002,North West,#N/A,71.3,71.4,70.7,69.9,68.9,69.1,68.7,69.4,68.8,70.3,72.0,72.8,73.9,74.5,75.2,,108000,119000,127900,134950,129950,130000,130000,127000,130000,132000,138500,145000,150000,157000,161000,,19500,20500,21700,22300,23300,#N/A,24900,24200,25400,26000,27300,28000,29300,29400,30300,,14900,15500,16100,16600,17400,#N/A,18500,18400,19200,19700,20600,21100,21900,22300,23100,,44.7,47.5,49.9,55.2,58.4,58.9,59.9,55.8,55.9,,14,19,24,29,33,37,38,40,43,44,46,47,47,46,45,45
E12000003,Yorkshire and The Humber,#N/A,72.7,72.1,71.3,71.4,69.2,68.8,68.2,69.6,70.7,72.0,71.8,72.7,73.3,73.9,73.7,,110000,119995,128500,135000,130000,130000,135000,130000,130000,134950,139995,145000,150000,155000,160000,,19400,20300,21400,22100,23100,#N/A,24600,23800,24900,25600,26700,27400,28400,28400,29400,,15100,15500,16200,16600,17400,#N/A,18200,18200,19000,19600,20400,21000,21500,21900,22600,,42.6,44.5,47.3,52.1,54.6,57.3,59.5,53.9,55.1,,15,19,22,27,31,34,37,39,42,43,44,44,44,43,42,43
E12000004,East Midlands,#N/A,74.9,74.9,73.6,73.8,72.9,70.8,71.6,71.5,71.6,73.8,74.4,75.2,74.6,75.1,77.1,,126299,132000,137000,144500,138000,135000,139000,136000,138000,141500,150000,160000,168500,180000,189950,,20100,20800,22100,22900,23900,#N/A,25100,24400,25600,26400,27600,28200,29600,29300,30500,,15400,15900,16600,17000,17900,#N/A,18500,18800,19300,19900,20800,21200,22100,22200,23300,,44.5,47.1,49.9,53.7,57.1,57.6,59.3,54.0,54.2,,19,26,32,36,42,44,46,46,47,47,46,45,45,46,44,44
E12000005,West Midlands,#N/A,72.5,71.9,71.1,70.6,68.6,68.8,67.9,69.6,69.1,70.2,71.1,72.2,72.1,74.0,74.7,,128500,134000,142495,147000,142000,142000,147000,142500,145000,149995,156000,164000,170000,180000,190000,,19800,20500,21700,22600,23400,#N/A,24800,24000,25400,26000,27200,27700,29200,29600,30300,,15400,15900,16400,17000,17600,#N/A,18600,18400,19400,19900,20500,20900,21900,22400,23200,,43.4,46.2,48.5,54.3,57.4,58.8,59.9,54.9,55.1,,16,20,25,29,33,37,40,42,43,44,42,42,42,41,40,40
